specialmove
motor2 0.29 -61.82 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.03
motor2 0.29 -61.52 -128.32 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -128.03
motor2 0.59 -61.52 -128.03 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -127.44
motor2 0.59 -61.82 -128.03 -0.29 -70.31 -123.93
motor1 0.59 -79.69 -125.39 0.00 -62.40 -127.44
motor2 0.29 -61.82 -128.03 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -127.15
motor2 0.29 -61.52 -128.03 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -126.86
motor2 0.59 -61.52 -127.73 -0.29 -70.31 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.40 -126.56
motor2 0.59 -61.82 -127.73 -0.29 -70.31 -123.93
motor1 0.29 -79.98 -125.39 0.00 -62.40 -126.27
motor2 0.59 -61.82 -127.44 -0.29 -70.31 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.40 -125.98
motor2 0.59 -61.82 -127.15 -0.29 -70.31 -123.93
motor1 0.00 -79.69 -125.39 0.00 -62.40 -125.68
motor2 0.59 -61.52 -127.15 -0.29 -70.31 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -125.10
motor2 0.88 -61.82 -126.86 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -124.80
motor2 0.59 -61.23 -126.56 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.40 -123.63
motor2 0.59 -61.82 -125.98 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -123.05
motor2 0.59 -61.82 -125.39 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -122.46
motor2 0.59 -61.82 -125.10 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -121.58
motor2 0.59 -61.82 -124.80 -0.29 -70.61 -123.93
motor1 0.59 -79.69 -125.39 0.00 -62.70 -120.70
motor2 0.59 -61.82 -124.22 -0.29 -70.61 -123.93
motor1 0.59 -79.69 -125.39 0.00 -62.70 -119.82
motor2 0.88 -62.11 -123.93 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -119.24
motor2 0.59 -62.11 -122.75 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -118.07
motor2 0.59 -62.11 -122.17 0.00 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -117.48
motor2 0.88 -62.11 -121.58 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -116.02
motor2 0.88 -62.11 -120.41 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -115.43
motor2 0.59 -62.11 -119.82 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -114.26
motor2 0.59 -62.70 -118.65 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 0.00 -62.70 -113.38
motor2 0.59 -62.70 -117.48 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 -0.29 -62.70 -112.79
motor2 0.59 -62.70 -116.89 -0.29 -70.61 -123.93
motor1 0.00 -79.69 -125.39 -0.29 -62.70 -111.91
motor2 0.59 -62.99 -116.02 -0.29 -70.61 -123.93
motor1 0.29 -79.69 -125.39 -0.29 -62.70 -111.04
